JUPAS,,,,,,,,,,,,Programme,,,
"",,Target,,,,,,1st,2nd,3rd,4th,,Selection,,
Catalogue Programme/ Stream,,,CHI,ENG,MATH,LS,M1/M2,,,,,Weighted,,,Subject Weighting
"",,Percentile,,,,,,Elective,Elective,Elective,Elective,,Principle,,
No.,,,,,,,,,,,,Total,,,
Faculty of Arts,,,,,,,,,,,,,,,
"",,UQ,4,4,5,4,5**,5*,5,,,44.5,,
JS4719,Risk Management Science,M,4,3,5,3,5*,5*,5,,,41.5,Best 5,
"",,LQ,3,3,5*,3,5,5,5,,,39,,
JS4276,"Quantitative Finance andRisk Management Science",UQ,5*,5,5**,5**,5*,5**,5**,5**,,57.75,Best 5,"• English (x 2)• Mathematics (x 2)• The best one subject of M1/M2, Chemistry, Physics orEconomics (x 1.5)"
"",,M,4,5,5**,4,5**,5**,5*,5*,,56.25,,
"",,LQ,5*,5,5**,4,5**,5*,5*,5,,54.75,,
"",,UQ,3,4,4,4,,5*,5,4,,34.75,,• Mathematics (x 1.5)
JS4386,,M,4,4,5,4,4,4,,,,29.25,Best 5,
"",,LQ,3,4,4,2,4,4,3,,,27.5,,• Liberal Studies (x 0.5)
JS4416,Computational Data Science,UQ,4,4,5**,4,5*,5*,5*,5,A,65,Best 5,"• English (x 1.5)• Mathematics (x 2)• M1 or M2 (x 2)• Biology, Chemistry, Physics, Comb. Sci, Economics, ICT (x 2)"
"",,M,3,5,5,3,5*,5*,5*,A,,61.25,,
"",,LQ,5,4,5,5*,5*,5*,5*,,,60,,
"",,UQ,4,5*,5,3,,5*,5*,,,30.5,,
JS4725,,M,5,4,5,4,,5*,5,5,,29,Best 5,‐‐
"",,LQ,4,4,4,5,,5**,5*,,,29,,
JS4760,"Bachelor of Science inInterdisciplinary Data Analytics andX Double Major Programme",UQ,3,4,5*,4,5,5,5,,,31,Best 5,• Mathematics (x 1.5)
"",,M,4,4,5*,5,5,4,4,,,29.5,,
"",,LQ,5,5,4,4,4,4,4,4,,25,,
Faculty of Social Science,,,,,,,,,,,,,,
"",,UQ,5,4,4,4,,5*,5,4,,27.2,,
JS4801,Social Science (broad‐based),M,4,5,5,4,,5,4,,,26.15,Best 5,• English (x 1.3)
"",,LQ,4,4,4,4,,5*,5,,,25.7,,
JS4812,Architectural Studies,UQ,5**,4,5,5,,5,5,,,31,Best 5,• English (x 1.5)
"",,M,4,4,5*,4,4,5*,4,4,,28,,
"",,LQ,4,5,5,4,,5,4,4,,27.25,,
"",,UQ,3,5,5,3,4,5,5,,,31.5,,• Mathematics (x 1.5)
JS4824,Economics,M,3,4,5,4,,5,5,,,30,Best 5,"• The best one subject of M1/M2, Chemistry, Economics or"
"",,LQ,3,3,5,3,5,4,4,4,,28.5,,Physics (x 1.5)
"JUPASCatalogueNo.",Programme/ Stream,"TargetPercentile",CHI,ENG,MATH,LS,M1/M2,"1stElective","2ndElective","3rdElective","4thElective","ProgrammeWeightedTotal","SelectionPrinciple",Subject Weighting
JS4836,"Geography and ResourceManagement",UQ,5,5,4,4,,5,5,,,31.5,Best 5,"• English (x 1.5)• Geography (x 1.5)"
"",,M,4,4,5,4,,5*,3,,,30,,
"",,LQ,4,4,4,4,,5*,4,,,28.5,,
"",,UQ,5*,5**,3,4,,4,4,4,,27.5,,
JS4838,Urban Studies,M,4,4,4,3,,5,5,5,,24.5,Best 5,‐‐
"",,LQ,4,3,4,4,,5*,5,,,24.5,,
JS4848,"Government and PublicAdministration",UQ,5,4,3,5,,4,4,4,,27.75,Best 5,"• English (x 1.5)• Chinese (x 1.25)• Liberal Studies (x 1.25)"
"",,M,5,4,4,4,,5,4,,,27.375,,
"",,LQ,5*,3,3,4,,5,3,,,26.75,,
"",,UQ,5*,5,5,4,,5,5,5,,32.75,,
JS4850,Journalism and Communication,M,4,5,5,5,5,5*,4,,,30.65,Best 5,
"",,LQ,5,4,5*,4,4,5,4,4,,28.85,,
JS4858,Global Communication,UQ,5*,5*,5,4,,5,5,,,32.6,Best 5,• English (x 1.3)
"",,M,4,4,5*,5,5,5,,,,28.7,,
"",,LQ,5**,4,4,4,,5,4,,,27.2,,
"",,UQ,5*,5,5,5,,5,5,5,,34.5,,
JS4862,Psychology,M,5,5*,4,4,,5,5,,,33,Best 5,
"",,LQ,5,4,5,4,,5,5,4,,30.75,,
JS4874,Social Work,UQ,5**,5,5,4,,5,4,3,,29,Best 5,‐‐
"",,M,4,3,5*,4,5,5,5,4,,27.5,,
"",,LQ,5,4,3,4,,5*,5*,,,27.5,,
"",,UQ,4,4,4,5*,,4,3,,,28.5,,
JS4886,Sociology,M,4,5,4,4,,5,3,,,27.75,Best 5,
"",,LQ,5,4,5,4,3,4,4,3,,27,,
JS4892,Global Studies,UQ,4,4,4,4,,5*,5*,5,,29.5,Best 5,• English (x 1.5)
"",,M,4,5*,4,4,,4,4,,,26.5,,
"",,LQ,4,5,2,4,,5,4,,,25.75,,
"",,UQ,3,3,5,4,5,5,5,,,26,,
JS4893,Data Science and Policy Studies,M,4,4,5,4,3,5,4,,,23,Best 5,‐‐
"",,LQ,4,4,4,4,,5,4,3,,21.5,,
JS4254,"Interdisciplinary Major Programmein Global Economics and Finance",UQ,5,5*,5**,4,5*,5*,3,,,35,Best 5,• English must be included
M,5*,5,5,5*,,5**,3,3,,33.5,,,,
LQ,5*,5,5*,5,,5*,5,4,,32,,,,
